Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
151	147.0	18.0	147	0.44734627444322417
152	116.0	7.0	116	0.6212958250323246
153	258.0	23.0	258	0.5483071079780889
154	206.0	18.0	206	0.4448097897964774
155	350.0	16.0	350	0.5295778037820543
156	57.0	9.0	57	0.518888955576378
157	118.0	13.0	118	0.4652415520937766
158	97.0	12.0	97	0.5314765633996
159	299.0	23.0	299	0.4324131356583391
160	40.0	6.0	40	0.3820429746061563
161	127.0	10.0	127	0.4659955685180942
162	46.0	7.0	46	0.4883530243583348
163	86.0	8.0	86	0.6002464701616487
164	325.0	19.0	325	0.6127069930388377
165	156.0	11.0	156	0.5047022285751808
166	48.0	6.0	48	0.48810557555407286
167	294.0	19.0	294	0.5326807663148764
168	226.0	20.0	226	0.5030592999429302
169	37.0	5.0	37	0.6805709713214153
170	265.0	18.0	265	0.5398613790858466
171	332.0	22.0	332	0.5159035178058478
172	78.0	10.0	78	0.5842577851353548
173	187.0	16.0	187	0.5768938306818672
174	196.0	15.0	196	0.5835535935297305
175	273.0	11.0	273	0.6441196833665555
176	316.0	21.0	316	0.6126129667310021
177	267.0	23.0	267	0.5168996557928203
178	186.0	18.0	186	0.48527857493008336
179	68.0	8.0	68	0.58978261185043
180	58.0	7.0	58	0.5235416277729231
181	293.0	23.0	293	0.5414748070284775
182	197.0	16.0	197	0.4337220207840053
183	46.0	4.0	46	0.38125517656621727
184	177.0	14.0	177	0.4741307695706685
185	244.0	21.0	244	0.505338961502812
186	167.0	13.0	167	0.45765933474737724
187	175.0	6.0	175	0.48195639891283854
188	365.0	14.0	365	0.5179669205864815
189	276.0	23.0	276	0.3997320233695749
190	226.0	15.0	226	0.4265412599903292
191	156.0	13.0	156	0.5751205645024012
192	406.0	17.0	406	0.42703808488076545
193	146.0	11.0	146	0.398602244074214
194	362.0	13.0	362	0.4089059917390017
195	246.0	11.0	246	0.4596149396242165
196	135.0	10.0	135	0.4157807484821037
197	138.0	17.0	138	0.5349911578755447
198	195.0	15.0	195	0.3909252324165442
199	309.0	23.0	309	0.4661555196909071
200	87.0	12.0	87	0.5686126056758837
201	166.0	18.0	166	0.39259816140654574
202	304.0	15.0	304	0.4883505673098721
203	195.0	19.0	195	0.5067267269660265
204	272.0	23.0	272	0.5159508508958799
205	233.0	16.0	233	0.5257155136425096
206	322.0	15.0	322	0.41642910179606873
207	319.0	21.0	319	0.550808268280986
208	323.0	23.0	323	0.411017044386812
209	98.0	11.0	98	0.4497443358508908
210	320.0	20.0	320	0.5199049405287951
211	242.0	19.0	242	0.4376360235874318
212	195.0	16.0	195	0.4638576824313555
213	196.0	19.0	196	0.4105316174729746
214	37.0	5.0	37	0.26542432827723994
215	284.0	18.0	284	0.356323010353765
216	251.0	23.0	251	0.43545474732420836
217	96.0	5.0	96	0.3924405734675626
218	184.0	11.0	184	0.47208957750674174
219	107.0	8.0	107	0.6217613796764445
220	87.0	11.0	87	0.5917066957416206
221	48.0	4.0	48	0.7611981012548009
222	37.0	4.0	37	0.34157930838095174
223	447.0	14.0	447	0.5504618135408
224	236.0	15.0	236	0.5289321993556568
225	214.0	9.0	214	0.4715234041213989
226	166.0	12.0	166	0.5808636365256395
227	105.0	8.0	105	0.7412713508520807
228	27.0	4.0	27	0.40162042611175114
229	145.0	8.0	145	0.3854083281652681
230	46.0	7.0	46	0.2876667297728684
231	97.0	12.0	97	0.4037271439261043
232	175.0	19.0	175	0.48397044143506457
233	17.0	2.0	17	0.7094396891839364
234	265.0	10.0	265	0.49693374805292995
235	303.0	19.0	303	0.4600904981049374
236	128.0	8.0	128	0.4905450668884441
237	305.0	18.0	305	0.41578657697947297
238	255.0	16.0	255	0.4750862540275443
239	96.0	8.0	96	0.4692984994035214
240	185.0	14.0	185	0.46440071221944446
241	323.0	18.0	323	0.44275393104036526
242	174.0	9.0	174	0.38172544423362303
243	27.0	1.0	27	0.584772053692076
244	287.0	19.0	287	0.41154678134760375
245	167.0	14.0	167	0.39206704582104424
246	317.0	20.0	317	0.3434076630730734
247	195.0	18.0	195	0.36280889427050567
248	263.0	17.0	263	0.34744751529888507
249	284.0	11.0	284	0.3027695202019433
250	232.0	20.0	232	0.3194130771664967
251	216.0	19.0	216	0.35460827463409966
252	264.0	21.0	264	0.3328374181168549
253	254.0	15.0	254	0.3057519442981153
254	165.0	13.0	165	0.3728589552821535
255	275.0	23.0	275	0.3171407867290757
256	118.0	11.0	118	0.3263067249524391
257	88.0	9.0	88	0.31155028693716635
258	76.0	6.0	76	0.32359554481349495
259	195.0	17.0	195	0.26802037906570314
260	176.0	16.0	176	0.31284038280136883
261	274.0	16.0	274	0.2779950611293316
262	275.0	15.0	275	0.28576180630109527
263	309.0	23.0	309	0.2795631670088637
264	38.0	7.0	38	0.2293778075591514
265	47.0	4.0	47	0.2708817441412743
266	266.0	12.0	266	0.26094263353686137
267	176.0	14.0	176	0.36387862442907964
268	275.0	23.0	275	0.31604705783453857
269	29.0	4.0	29	0.2419665820639709
270	66.0	8.0	66	0.2543973319909789
271	78.0	12.0	78	0.1970922300257744
272	298.0	35.0	298	0.2645854917573649
273	18.0	3.0	18	0.40178314596414566
274	368.0	23.0	368	0.2796860302940173
275	265.0	23.0	265	0.26620718257607157
276	164.0	15.0	164	0.23397801807377397
277	46.0	6.0	46	0.17343811593625857
278	184.0	15.0	184	0.22479216272578292
279	105.0	11.0	105	0.30410313854614895
280	137.0	16.0	137	0.26358504609687483
281	39.0	6.0	39	0.228746907833295
282	216.0	23.0	216	0.29365937448003226
283	204.0	15.0	204	0.32402332999980915
284	272.0	23.0	272	0.2676724143572809
285	308.0	23.0	308	0.27377879140632494
286	97.0	11.0	97	0.260174825633924
287	244.0	16.0	244	0.26276189513260223
288	147.0	16.0	147	0.24538587302375
289	261.0	23.0	261	0.22671340944038498
290	238.0	23.0	238	0.22876083033801126
291	222.0	22.0	222	0.24230344692530395
292	244.0	14.0	244	0.26544971191553307
293	215.0	20.0	215	0.18970849938517392
