episode,length,reward
320,46.0,4.0
321,437.0,40.0
322,28.0,3.0
323,86.0,11.0
324,330.0,21.0
325,273.0,23.0
326,262.0,19.0
327,76.0,11.0
328,466.0,47.0
329,107.0,12.0
330,322.0,20.0
331,56.0,7.0
332,38.0,5.0
333,18.0,3.0
334,304.0,18.0
335,501.0,47.0
336,58.0,7.0
337,138.0,12.0
338,27.0,3.0
339,204.0,21.0
340,358.0,19.0
341,226.0,20.0
342,67.0,6.0
343,128.0,17.0
344,234.0,19.0
345,167.0,15.0
346,117.0,15.0
347,157.0,18.0
348,18.0,2.0
349,57.0,8.0
350,17.0,3.0
351,38.0,5.0
352,57.0,4.0
353,319.0,23.0
354,266.0,22.0
355,307.0,20.0
356,69.0,8.0
357,274.0,21.0
358,66.0,11.0
359,118.0,13.0
360,239.0,20.0
361,147.0,15.0
362,117.0,12.0
363,242.0,20.0
364,48.0,6.0
365,97.0,12.0
366,254.0,22.0
367,258.0,20.0
368,273.0,19.0
369,282.0,19.0
370,68.0,9.0
371,248.0,22.0
372,106.0,17.0
373,136.0,14.0
374,137.0,16.0
375,197.0,19.0
376,272.0,23.0
377,117.0,12.0
378,298.0,22.0
379,299.0,21.0
380,250.0,22.0
381,476.0,20.0
382,233.0,15.0
383,247.0,23.0
384,96.0,5.0
385,46.0,4.0
386,238.0,21.0
387,86.0,9.0
388,99.0,13.0
389,246.0,23.0
390,97.0,11.0
391,293.0,23.0
392,278.0,23.0
393,381.0,22.0
394,268.0,23.0
395,302.0,20.0
396,108.0,14.0
397,276.0,22.0
398,258.0,21.0
399,77.0,9.0
400,251.0,23.0
401,364.0,23.0
402,323.0,18.0
403,452.0,20.0
404,128.0,14.0
405,263.0,19.0
406,278.0,22.0
407,86.0,12.0
408,255.0,21.0
409,40.0,5.0
410,245.0,20.0
411,292.0,19.0
412,273.0,22.0
413,86.0,8.0
414,342.0,21.0
415,177.0,18.0
416,307.0,22.0
417,284.0,19.0
418,293.0,20.0
419,244.0,22.0
420,281.0,22.0
421,312.0,23.0
422,250.0,22.0
423,245.0,23.0
424,78.0,10.0
425,299.0,19.0
426,501.0,43.0
427,274.0,20.0
428,235.0,23.0
429,233.0,19.0
430,46.0,8.0
431,285.0,21.0
432,316.0,19.0
433,214.0,18.0
434,66.0,5.0
435,276.0,23.0
436,266.0,22.0
437,138.0,19.0
438,296.0,23.0
439,234.0,16.0
440,254.0,20.0
441,219.0,23.0
442,272.0,22.0
443,487.0,45.0
444,306.0,19.0
445,204.0,21.0
446,275.0,23.0
447,29.0,4.0
448,308.0,20.0
449,138.0,15.0
450,357.0,23.0
451,324.0,23.0
452,410.0,20.0
453,374.0,20.0
454,216.0,19.0
455,335.0,23.0
456,28.0,5.0
457,253.0,22.0
458,319.0,22.0
459,501.0,35.0
460,336.0,20.0
461,285.0,22.0
462,282.0,23.0
463,307.0,23.0
464,253.0,23.0
465,258.0,23.0
466,300.0,21.0
467,258.0,20.0
468,301.0,21.0
469,254.0,23.0
470,501.0,45.0
471,286.0,21.0
472,501.0,47.0
473,290.0,22.0
474,272.0,23.0
475,406.0,39.0
476,234.0,23.0
477,501.0,37.0
478,228.0,23.0
479,260.0,23.0
480,281.0,22.0
481,319.0,21.0
482,260.0,20.0
483,310.0,22.0
484,349.0,22.0
485,292.0,21.0
486,309.0,23.0
487,166.0,16.0
488,343.0,19.0
489,263.0,23.0
490,482.0,47.0
491,266.0,22.0
492,263.0,23.0
493,250.0,23.0
494,66.0,7.0
495,300.0,18.0
496,299.0,23.0
497,362.0,14.0
498,231.0,23.0
499,426.0,22.0
500,294.0,23.0
501,392.0,9.0
502,236.0,11.0
503,314.0,20.0
504,288.0,21.0
505,366.0,22.0
506,336.0,23.0
507,252.0,23.0
508,419.0,23.0
509,402.0,19.0
510,246.0,23.0
511,323.0,23.0
512,240.0,20.0
513,146.0,19.0
514,276.0,23.0
515,221.0,23.0
516,128.0,19.0
517,252.0,23.0
518,226.0,21.0
519,347.0,19.0
520,378.0,39.0
521,271.0,23.0
522,501.0,45.0
523,501.0,44.0
524,259.0,22.0
525,298.0,22.0
526,289.0,21.0
527,259.0,22.0
528,306.0,23.0
529,275.0,23.0
530,278.0,21.0
531,501.0,43.0
532,56.0,9.0
533,289.0,23.0
534,325.0,19.0
535,501.0,41.0
536,298.0,23.0
537,344.0,23.0
538,308.0,23.0
539,272.0,23.0
540,239.0,23.0
541,117.0,9.0
542,247.0,22.0
543,315.0,19.0
544,265.0,23.0
545,125.0,17.0
546,376.0,22.0
547,334.0,23.0
548,69.0,10.0
549,147.0,15.0
550,368.0,23.0
551,97.0,12.0
552,287.0,22.0
553,322.0,23.0
554,254.0,18.0
555,232.0,23.0
556,368.0,22.0
557,276.0,23.0
558,193.0,20.0
559,266.0,22.0
560,501.0,42.0
561,108.0,14.0
562,164.0,20.0
563,501.0,39.0
564,341.0,23.0
565,259.0,23.0
566,66.0,9.0
567,278.0,20.0
568,290.0,23.0
569,276.0,23.0
570,326.0,33.0
571,268.0,22.0
572,341.0,17.0
573,501.0,43.0
574,195.0,13.0
575,196.0,15.0
576,203.0,17.0
577,268.0,23.0
578,98.0,13.0
579,501.0,44.0
580,501.0,45.0
581,244.0,23.0
582,177.0,19.0
583,501.0,43.0
584,261.0,22.0
585,252.0,23.0
586,280.0,23.0
587,299.0,30.0
588,265.0,23.0
589,296.0,23.0
590,362.0,25.0
591,331.0,21.0
592,252.0,23.0
593,295.0,21.0
594,67.0,7.0
595,18.0,3.0
596,296.0,23.0
597,501.0,45.0
598,316.0,23.0
599,86.0,9.0
600,267.0,23.0
601,501.0,59.0
602,207.0,24.0
603,501.0,40.0
604,291.0,18.0
605,206.0,23.0
606,501.0,54.0
607,17.0,1.0
608,269.0,21.0
609,261.0,23.0
610,321.0,23.0
611,330.0,23.0
612,250.0,23.0
613,327.0,21.0
614,304.0,23.0
615,252.0,22.0
616,257.0,21.0
617,255.0,21.0
618,224.0,22.0
619,299.0,23.0
620,273.0,22.0
621,239.0,22.0
622,229.0,23.0
623,265.0,23.0
624,385.0,18.0
625,404.0,19.0
626,501.0,57.0
627,270.0,21.0
628,78.0,7.0
629,99.0,14.0
630,291.0,20.0
631,284.0,20.0
632,251.0,23.0
633,288.0,23.0
634,255.0,23.0
635,393.0,23.0
636,230.0,23.0
637,501.0,55.0
638,501.0,60.0
639,317.0,23.0
640,223.0,23.0
641,283.0,23.0
642,147.0,18.0
643,231.0,22.0
644,302.0,23.0
645,261.0,23.0
646,246.0,23.0
647,247.0,23.0
648,292.0,20.0
649,256.0,22.0
650,216.0,23.0
651,108.0,17.0
