Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	86.0	1.0	55	0.003749537076840749
2	111.0	1.0	111	0.023282979136130453
3	81.0	0.0	81	0.01729562722094771
4	34.0	0.0	34	0.018251542138921863
5	60.0	0.0	60	0.01705199375671024
6	122.0	2.0	122	0.02466068757110138
7	39.0	0.0	39	0.030386173548415687
8	31.0	0.0	31	0.02806364938676838
9	46.0	1.0	46	0.02542520961319299
10	56.0	0.0	56	0.02749146117795525
11	41.0	0.0	41	0.025509674851669044
12	77.0	0.0	77	0.02228662808873243
13	34.0	0.0	34	0.021602290504447678
14	121.0	1.0	121	0.029030775439671495
15	24.0	0.0	24	0.06198170951878031
16	21.0	0.0	21	0.037161807219187416
17	191.0	2.0	191	0.04217926069060389
18	71.0	1.0	71	0.04379129948907755
19	56.0	1.0	56	0.04530887445434928
20	39.0	0.0	39	0.05688636840727085
21	21.0	0.0	21	0.05204453869234948
22	35.0	0.0	35	0.04484024920633861
23	106.0	0.0	106	0.06508699538326769
24	97.0	1.0	97	0.06923558301839632
25	56.0	0.0	56	0.07226458677489843
26	54.0	0.0	54	0.06251289247086754
27	21.0	0.0	21	0.0682876981085255
28	23.0	0.0	23	0.06105948595897011
29	61.0	1.0	61	0.07695001934761883
30	114.0	4.0	114	0.07649696637925349
31	79.0	2.0	79	0.11361438670207429
32	56.0	1.0	56	0.08539011941424438
33	63.0	1.0	63	0.10590278301092368
34	48.0	0.0	48	0.09803060546983033
35	21.0	0.0	21	0.10388634779623576
36	31.0	0.0	31	0.10429561775057547
37	56.0	0.0	56	0.09448147711477109
38	160.0	3.0	160	0.11441011994611472
39	100.0	1.0	100	0.12690055813640355
40	96.0	1.0	96	0.12423359218519181
41	63.0	0.0	63	0.12624842076311035
42	56.0	0.0	56	0.12057223929358381
43	26.0	0.0	26	0.12861898297873828
44	91.0	1.0	91	0.12848092828478133
45	41.0	0.0	41	0.13678067041242994
46	86.0	2.0	86	0.12675291460094062
47	21.0	0.0	21	0.14942150084035738
48	36.0	0.0	36	0.13780217400441566
49	32.0	0.0	32	0.11867597186937928
50	90.0	1.0	90	0.14256210712095102
51	61.0	2.0	61	0.13568456935100867
52	35.0	0.0	35	0.14159172049590518
53	96.0	1.0	96	0.18510446041667214
54	60.0	1.0	60	0.1752249748756488
55	86.0	1.0	86	0.17957762410041206
56	16.0	0.0	16	0.22543311398476362
57	121.0	0.0	121	0.17754744178007456
58	53.0	0.0	53	0.1757854328684087
