episode,length,reward
320,27.0,3.0
321,58.0,9.0
322,39.0,6.0
323,17.0,2.0
324,27.0,3.0
325,47.0,7.0
326,37.0,6.0
327,27.0,2.0
328,76.0,7.0
329,17.0,2.0
330,47.0,7.0
331,86.0,9.0
332,47.0,7.0
333,46.0,5.0
334,56.0,4.0
335,17.0,2.0
336,28.0,3.0
337,17.0,2.0
338,18.0,3.0
339,17.0,2.0
340,17.0,3.0
341,38.0,6.0
342,59.0,9.0
343,17.0,1.0
344,29.0,5.0
345,58.0,5.0
346,106.0,11.0
347,17.0,2.0
348,17.0,2.0
349,17.0,0.0
350,107.0,9.0
351,37.0,6.0
352,28.0,4.0
353,27.0,4.0
354,17.0,2.0
355,76.0,3.0
356,158.0,16.0
357,29.0,5.0
358,17.0,2.0
359,115.0,9.0
360,17.0,2.0
361,27.0,4.0
362,17.0,2.0
363,37.0,6.0
364,38.0,3.0
365,18.0,2.0
366,58.0,10.0
367,17.0,2.0
368,18.0,2.0
369,17.0,3.0
370,18.0,3.0
371,18.0,3.0
372,28.0,4.0
373,17.0,3.0
374,28.0,4.0
375,57.0,8.0
376,46.0,6.0
377,56.0,9.0
378,47.0,7.0
379,37.0,6.0
380,17.0,2.0
381,58.0,7.0
382,17.0,2.0
383,29.0,5.0
384,37.0,2.0
385,38.0,4.0
386,97.0,4.0
387,37.0,7.0
388,17.0,3.0
389,17.0,2.0
390,27.0,2.0
391,78.0,7.0
392,87.0,7.0
393,27.0,2.0
394,28.0,5.0
395,27.0,3.0
396,87.0,8.0
397,77.0,2.0
398,56.0,9.0
399,56.0,7.0
400,77.0,8.0
401,28.0,4.0
402,47.0,7.0
403,76.0,7.0
404,56.0,7.0
405,46.0,5.0
406,40.0,6.0
407,38.0,5.0
408,27.0,4.0
409,17.0,2.0
410,28.0,5.0
411,40.0,7.0
412,17.0,2.0
413,27.0,4.0
414,30.0,5.0
415,17.0,3.0
416,17.0,3.0
417,17.0,2.0
418,38.0,5.0
419,47.0,8.0
420,27.0,2.0
421,17.0,2.0
422,38.0,6.0
423,38.0,6.0
424,17.0,2.0
425,37.0,7.0
426,48.0,8.0
427,27.0,4.0
428,18.0,3.0
429,28.0,4.0
430,17.0,2.0
431,46.0,5.0
432,28.0,4.0
433,17.0,2.0
434,18.0,3.0
435,27.0,2.0
436,28.0,4.0
437,27.0,4.0
438,17.0,2.0
439,17.0,2.0
440,48.0,6.0
441,28.0,4.0
442,17.0,2.0
443,17.0,2.0
444,48.0,5.0
445,27.0,2.0
446,38.0,4.0
447,17.0,2.0
448,17.0,0.0
449,46.0,7.0
450,27.0,2.0
451,37.0,6.0
452,106.0,7.0
453,27.0,2.0
454,17.0,1.0
455,17.0,1.0
456,47.0,5.0
457,27.0,2.0
458,17.0,3.0
459,38.0,4.0
460,87.0,4.0
461,28.0,4.0
462,27.0,4.0
463,27.0,4.0
464,17.0,0.0
465,39.0,6.0
466,27.0,2.0
467,27.0,2.0
468,17.0,2.0
469,27.0,2.0
470,18.0,3.0
471,156.0,13.0
472,17.0,3.0
473,17.0,2.0
474,18.0,2.0
475,17.0,2.0
476,17.0,2.0
477,18.0,3.0
478,27.0,2.0
479,28.0,4.0
480,17.0,3.0
481,28.0,4.0
482,17.0,2.0
483,96.0,5.0
484,40.0,6.0
485,17.0,2.0
486,27.0,4.0
487,38.0,6.0
488,66.0,11.0
489,28.0,4.0
490,17.0,2.0
491,17.0,3.0
492,47.0,8.0
493,27.0,2.0
494,17.0,3.0
495,38.0,3.0
496,27.0,2.0
497,17.0,1.0
498,18.0,3.0
499,17.0,0.0
500,66.0,9.0
501,89.0,13.0
502,29.0,5.0
503,57.0,6.0
504,17.0,1.0
505,28.0,3.0
506,27.0,4.0
507,28.0,4.0
508,39.0,4.0
509,38.0,5.0
510,37.0,5.0
511,18.0,3.0
512,37.0,7.0
513,17.0,1.0
514,49.0,7.0
515,48.0,6.0
516,17.0,1.0
517,27.0,2.0
518,38.0,4.0
519,28.0,2.0
520,37.0,4.0
521,37.0,4.0
522,57.0,7.0
523,29.0,4.0
524,37.0,3.0
525,27.0,2.0
526,27.0,1.0
527,46.0,3.0
528,27.0,2.0
529,28.0,4.0
530,17.0,2.0
531,17.0,0.0
532,38.0,4.0
533,48.0,8.0
534,27.0,4.0
535,18.0,3.0
536,17.0,2.0
537,47.0,6.0
538,28.0,5.0
539,38.0,5.0
540,17.0,1.0
541,49.0,8.0
542,27.0,2.0
543,38.0,4.0
544,27.0,2.0
545,38.0,4.0
546,38.0,4.0
547,27.0,2.0
548,27.0,2.0
549,147.0,10.0
550,17.0,2.0
551,88.0,11.0
552,17.0,2.0
553,17.0,2.0
554,39.0,6.0
555,17.0,2.0
556,27.0,2.0
557,49.0,8.0
558,37.0,6.0
559,17.0,3.0
560,37.0,7.0
561,38.0,7.0
562,46.0,5.0
563,47.0,6.0
564,39.0,6.0
565,97.0,4.0
566,38.0,3.0
567,27.0,2.0
568,66.0,8.0
569,29.0,5.0
570,56.0,7.0
571,47.0,6.0
572,27.0,2.0
573,37.0,3.0
574,27.0,3.0
575,67.0,9.0
576,27.0,2.0
577,17.0,0.0
578,17.0,2.0
579,47.0,6.0
580,87.0,9.0
581,17.0,1.0
582,27.0,2.0
583,27.0,2.0
584,27.0,2.0
585,17.0,3.0
586,37.0,4.0
587,46.0,6.0
